id,probe,metric,n,mean
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,report__L39,burst_start_distance,43,48.46511627906977
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,motivated__L39,trigger_distance,181,18.535911602209946
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,motivated__L39,silent_gap,101,31.425742574257427
590b3bbcc96017d3ed78e14bb7c533ac793f9e96e40c5bc1ee5afb8c8e54e2d5,motivated__L39,burst_start_distance,101,33.21782178217822
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,suite__L39,trigger_distance,99,25.7979797979798
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,suite__L39,silent_gap,74,33.17567567567568
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,suite__L39,burst_start_distance,74,34.5
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,validator__L39,trigger_distance,133,18.56390977443609
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,validator__L39,silent_gap,68,34.35294117647059
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,validator__L39,burst_start_distance,68,36.279411764705884
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,scorefile__L39,trigger_distance,134,19.15671641791045
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,scorefile__L39,silent_gap,91,26.736263736263737
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,scorefile__L39,burst_start_distance,91,28.197802197802197
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,acquire__L39,trigger_distance,118,21.779661016949152
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,acquire__L39,silent_gap,80,30.65
